layer,m_all_median,m_last_median,broadcast_gain,eps_all_median,eps_last_median,eps_all_p10,eps_all_p90,n
0,1.5278608798980713,0.38562285900115967,3.7442712783813477,8.727481807303423,33.92900955238814,4.085106902511284,15.406890190207745,200
1,1.3902626037597656,0.3769921362400055,3.406402349472046,9.651938106505648,34.70505446883773,4.7642642696253645,16.68761190908125,200
2,1.1672354936599731,0.38353633880615234,2.701345920562744,11.926961420413777,34.77664566160466,5.689082590475572,19.79574747704685,200
3,1.1262190341949463,0.410125732421875,2.472622871398926,11.912291497255836,33.450634921057315,5.764067403018513,19.842147280305728,200
4,0.9341187477111816,0.3895629644393921,2.1673150062561035,14.750727290418778,34.580232332144874,7.350356167089182,23.482591742291678,200
5,0.8210843801498413,0.40540772676467896,1.8960881233215332,17.307677387621766,33.80773585903497,8.86159984972054,25.87974641690561,200
6,0.7804961204528809,0.40035808086395264,1.8985364437103271,18.13713062985794,33.92545819211543,9.366043009741666,26.62459573437055,200
7,0.7878638505935669,0.39830660820007324,1.9813930988311768,17.514960047098697,34.96194087623467,9.279898965600118,26.237738998141705,200
8,0.6513558626174927,0.3862089514732361,1.7197864055633545,21.437441236219172,36.21485546575393,11.723724920707314,30.762531275569405,200
9,0.6456354856491089,0.3809754252433777,1.734870195388794,21.700778515282714,36.75400129218551,11.548905362792203,31.101569208410876,200
10,0.6178462505340576,0.3759661018848419,1.690544605255127,22.84967614151722,37.82112298243404,12.915839022155929,31.758422552980274,200
11,0.6169387102127075,0.370369017124176,1.6919097900390625,23.109508426280325,38.95458241012315,13.098213345456061,32.09439201905183,200
12,0.5979815721511841,0.3696623742580414,1.6286989450454712,23.973207419388487,38.836792508049484,13.705849701053909,32.55530193273998,200
13,0.6154837012290955,0.37709856033325195,1.6279096603393555,23.208103815211736,37.64180465484789,13.754541400248117,31.815105076757003,200
14,0.5887548923492432,0.38247203826904297,1.5419702529907227,23.999435437975386,36.86100868886802,14.538509401107847,32.85592100384202,200
15,0.5971108078956604,0.39436042308807373,1.5090322494506836,23.56853753805188,35.71325228311002,15.064577980699545,31.30147329393387,200
16,0.6064808964729309,0.439331591129303,1.355211615562439,22.99743507149406,31.49621221060488,14.871698058321769,31.236614305953157,200
17,0.554740309715271,0.4280894696712494,1.2817078828811646,24.97793234261521,32.04166141086798,15.977231461677238,34.244559780930494,200
18,0.5446395874023438,0.42725682258605957,1.2766646146774292,25.29265151063351,32.655903926218414,16.363461212611632,34.435879515905405,200
19,0.5086727142333984,0.427601158618927,1.1823785305023193,26.776783350663088,31.912711023612808,17.234446805615995,36.372280246010234,200
20,0.4625890851020813,0.4000001549720764,1.15478515625,29.65265875735059,34.61651435550661,19.213454444207517,39.07185280598264,200
21,0.4044843912124634,0.3647914230823517,1.1089880466461182,33.98204849461493,37.82136266863229,22.11446663281521,44.59088692701087,200
22,0.35229963064193726,0.3137891888618469,1.0874974727630615,39.071485673015886,43.07048702474938,25.684717853642677,53.255257272238566,200
23,0.2709415555000305,0.25482994318008423,1.0580458641052246,49.823055469560686,53.79811614889212,34.079682538163595,69.2454248349399,200
24,0.2306290566921234,0.21725866198539734,1.0514776706695557,58.99804457240087,64.24977114386195,39.09180452341257,81.2035723903729,200
25,0.20797118544578552,0.19648323953151703,1.0391170978546143,67.24112556000622,71.35004224417193,42.26090655607333,89.73876017547306,200
